JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2459069.7768658,359.7808,0.3925,10.0100,0.0012,15.6680,1.43,g,G,br
2459070.7818692,359.6169,0.4044,10.0105,0.0012,15.6356,1.46,g,G,br
2459071.1203956,385.1770,0.1846,9.9359,0.0005,16.4871,2.07,g,G,bB
2459072.0164814,382.0395,0.1825,9.9448,0.0005,16.4997,2.03,g,G,bB
2459072.7746494,407.2400,0.2394,9.8754,0.0006,16.2050,1.44,g,G,br
2459073.7699527,389.7488,0.3152,9.9231,0.0009,15.9060,1.41,g,G,br
2459074.1135677,394.0115,0.1873,9.9113,0.0005,16.4711,2.02,g,G,bB
2459074.7631374,374.1063,0.3459,9.9676,0.0010,15.8053,1.43,g,G,br
2459075.1130771,382.9157,0.2016,9.9423,0.0006,16.3911,2.20,g,G,bB
2459075.7614483,376.2331,0.3498,9.9614,0.0010,15.7932,1.46,g,G,br
2459075.9924793,363.7039,0.0904,9.9982,0.0003,17.2626,2.06,g,G,bB
2459077.8920353,350.4244,0.1814,10.0386,0.0006,16.5058,2.00,g,G,bB
2459078.9366975,345.7665,0.1447,10.0531,0.0005,16.7512,2.27,g,G,bB
2459079.7568313,77.8735,0.8346,11.6716,0.0116,14.8489,1.44,g,G,br
2459080.065082,404.5477,0.2492,9.8826,0.0007,16.1611,2.07,g,G,bB
2459080.7499581,330.4209,0.4574,10.1024,0.0015,15.5019,1.49,g,G,br
2459081.7454784,171.4172,0.7162,10.8149,0.0045,15.0151,1.60,g,G,br
2459082.748212,152.9526,0.7469,10.9387,0.0053,14.9695,1.48,g,G,br
2459083.8774493,337.1069,0.1833,10.0806,0.0006,16.4947,2.13,g,G,bB
2459084.7394187,171.4295,0.7145,10.8149,0.0045,15.0176,1.44,g,G,br
2459085.0355222,403.9675,0.2399,9.8842,0.0006,16.2027,2.10,g,G,bB
2459085.7344867,-81.5342,0.9847,14.6693,99.9990,14.6693,1.47,g,G,br
2459085.9058625,638.1428,0.2215,9.3878,0.0004,16.2894,1.41,g,G,br
2459086.7337582,347.8775,0.4140,10.0465,0.0013,15.6100,1.47,g,G,br
2459086.9968511,362.3648,0.0798,10.0022,0.0002,17.3980,2.01,g,G,bB
2459087.7294675,351.2158,0.4177,10.0361,0.0013,15.6005,1.48,g,G,br
2459087.9766064,399.0217,0.2198,9.8976,0.0006,16.2974,2.19,g,G,bB
2459088.7195149,353.0985,0.3835,10.0303,0.0012,15.6931,1.47,g,G,br
2459089.7239056,305.4534,0.5155,10.1877,0.0018,15.3720,1.46,g,G,br
2459090.1194516,381.9313,0.1778,9.9451,0.0005,16.5279,2.21,g,G,bB
2459090.7193183,318.3699,0.5096,10.1427,0.0017,15.3846,1.56,g,G,br
2459091.0409594,392.8752,0.1741,9.9144,0.0005,16.5507,2.02,g,G,bB
2459091.7208223,314.1968,0.5147,10.1571,0.0018,15.3737,1.50,g,G,br
2459096.703003,360.3134,0.4335,10.0084,0.0013,15.5602,1.55,g,B,br
2459096.9712462,382.8968,0.1856,9.9424,0.0005,16.4814,2.06,g,G,bB
2459097.7053418,386.5439,0.3615,9.9321,0.0010,15.7574,1.45,g,G,br
2459097.9133008,343.0595,0.1701,10.0616,0.0005,16.5759,2.04,g,B,bB
2459099.047376,394.7168,0.2158,9.9094,0.0006,16.3175,2.17,g,B,bB
2459100.8319169,321.7281,0.2329,10.1313,0.0008,16.2345,2.11,g,G,bB
2459102.0384582,372.8134,0.1464,9.9713,0.0004,16.7392,2.28,g,G,bB
2459103.0500415,391.1298,0.2005,9.9193,0.0006,16.3971,2.15,g,G,bB
2459103.8260747,326.0970,0.2078,10.1167,0.0007,16.3588,2.01,g,G,bB
2459105.8208837,352.6984,0.1245,10.0316,0.0004,16.9143,2.03,g,G,bB
2459106.8388317,355.3658,0.1021,10.0234,0.0003,17.1304,2.01,g,G,bB
2459108.0261453,414.9466,0.2425,9.8551,0.0006,16.1910,2.07,g,G,bB
2459108.8832261,360.6363,0.0598,10.0074,0.0002,17.7105,2.03,g,G,bB
2459111.9161271,305.8636,0.3492,10.1862,0.0012,15.7949,2.27,g,B,bB
2459114.9263801,387.8792,0.1871,9.9283,0.0005,16.4723,2.13,g,G,bB
2459117.7862288,322.6122,0.2254,10.1284,0.0008,16.2700,2.13,g,G,bB
2459118.7823402,321.2527,0.2392,10.1329,0.0008,16.2056,2.26,g,G,bB
2459120.0444283,346.3345,0.2092,10.0513,0.0007,16.3513,2.01,g,G,bB
2459120.8165634,332.2520,0.2245,10.0964,0.0007,16.2744,2.23,g,G,bB
2459121.8821988,377.3177,0.1977,9.9583,0.0006,16.4128,2.07,g,G,bB
2459122.6904609,410.1188,0.2655,9.8678,0.0007,16.0927,1.72,g,G,br
2459125.9801677,378.7892,0.2921,9.9541,0.0008,15.9889,2.08,g,G,bB
2459126.9816597,377.7770,0.1729,9.9570,0.0005,16.5583,2.07,g,G,bB
2459127.6227351,307.1894,0.5323,10.1816,0.0019,15.3373,1.43,g,G,br
2459127.8181624,334.3234,0.2844,10.0896,0.0009,16.0179,2.13,g,G,bB
2459128.6181009,287.7287,0.5285,10.2526,0.0020,15.3451,1.44,g,G,br
2459128.8180168,372.7481,0.1515,9.9715,0.0004,16.7018,2.13,g,G,bB
2459129.6100079,238.6198,0.6123,10.4558,0.0028,15.1852,1.48,g,G,br
2459129.8090983,354.8370,0.1023,10.0250,0.0003,17.1277,2.04,g,G,bB
2459130.7936192,371.6281,0.1353,9.9748,0.0004,16.8241,2.01,g,G,bB
2459132.0296454,353.1377,0.1680,10.0302,0.0005,16.5891,2.04,g,G,bB
2459132.579258,262.5639,0.5708,10.3520,0.0024,15.2615,1.50,g,B,br
2459132.8190492,350.2431,0.1373,10.0391,0.0004,16.8081,2.12,g,G,bB
2459135.5826844,-315.4820,1.7917,14.0195,99.9990,14.0195,1.67,g,B,br
2459137.9774774,360.6448,0.0561,10.0074,0.0002,17.7805,2.02,g,G,bB
2459138.5811792,-66.9600,1.4143,14.2763,99.9990,14.2763,1.45,g,B,br
2459139.5765539,368.5071,0.3483,9.9840,0.0010,15.7979,1.58,g,G,br
2459140.0064212,139.5918,0.7671,11.0379,0.0060,14.9405,2.06,g,B,bB
2459143.7069819,319.6552,0.2317,10.1384,0.0008,16.2404,2.06,g,G,bB
2459143.9116903,294.0031,0.5262,10.2292,0.0019,15.3497,1.45,g,G,br
2459145.7023424,299.3117,0.2992,10.2098,0.0011,15.9628,2.06,g,G,bB
2459146.7968196,376.5890,0.1488,9.9604,0.0004,16.7212,2.02,g,G,bB
2459148.7503179,339.0555,0.1976,10.0744,0.0006,16.4130,2.01,g,G,bB
2459155.7556307,387.6710,0.8934,9.9289,0.0025,14.7751,1.52,g,B,br
2459156.8497208,347.2774,0.7398,10.0484,0.0023,14.9799,1.55,g,B,br
2459157.8874367,288.1558,0.6569,10.2510,0.0025,15.1089,1.51,g,B,br
2459158.7805961,379.7233,0.3449,9.9514,0.0010,15.8086,1.49,g,G,br
2459159.8877611,321.6230,0.4795,10.1317,0.0016,15.4508,1.53,g,G,br
2459161.5449104,324.5288,0.4800,10.1219,0.0016,15.4495,1.50,g,G,br
2459161.8224045,401.1325,0.2016,9.8918,0.0005,16.3917,2.07,g,G,bB
2459162.7237581,-21.3269,1.0154,14.6360,99.9990,14.6360,1.42,g,B,br
2459163.5638973,306.3554,0.4947,10.1845,0.0018,15.4168,1.99,g,G,br
2459166.693008,350.5725,0.1323,10.0381,0.0004,16.8489,2.42,g,G,bB
2459167.5668867,382.2642,0.3244,9.9442,0.0009,15.8751,1.49,g,G,br
2459169.5420481,374.0972,0.3467,9.9676,0.0010,15.8029,2.08,g,G,br
2459169.7322644,362.3896,0.1459,10.0021,0.0004,16.7424,2.30,g,G,bB
2459171.5528602,324.5172,0.4987,10.1220,0.0017,15.4080,1.51,g,G,br
2459172.5474943,341.4495,0.4298,10.0667,0.0014,15.5695,2.00,g,G,br
2459173.5485618,421.7672,0.3729,9.8374,0.0010,15.7236,1.55,g,G,br
2459173.9096943,375.1867,0.1689,9.9644,0.0005,16.5836,2.07,g,G,bB
2459179.547919,458.0381,0.3174,9.7478,0.0008,15.8986,1.75,g,G,br
2459180.8717803,338.6600,0.2262,10.0757,0.0007,16.2665,2.19,g,G,bB
