HJD,UT Date,Camera,Filter,FWHM,Limit,Mag,Mag Error,Flux (mJy),Flux Error
2460230.80348,2023-10-13.2987416,,,1.5,16.457,9.746,0.0,458.846,0.19
2460231.58767,2023-10-14.0829341,br,g,1.61,15.847,9.932,0.001,386.408,0.333
2460232.61788,2023-10-15.1131137,br,g,1.49,15.719,9.915,0.001,392.539,0.374
2460233.75936,2023-10-16.2545912,,,1.45,16.843,9.734,0.0,463.8,0.133
2460234.61482,2023-10-17.1100394,br,g,1.42,16.208,9.862,0.001,412.459,0.239
2460234.81067,2023-10-17.3058925,,,1.45,16.471,9.677,0.0,488.947,0.187
2460235.85952,2023-10-18.3547253,,,1.48,16.524,9.678,0.0,488.325,0.178
2460236.58393,2023-10-19.0791326,br,g,1.51,15.782,9.969,0.001,373.763,0.353
2460236.80599,2023-10-19.3011921,,,1.48,17.485,9.719,0.0,470.187,0.074
2460237.59239,2023-10-20.0875983,br,g,1.53,16.117,9.910,0.001,394.323,0.259
2460237.9108,2023-10-20.4060028,,,1.47,16.602,9.688,0.0,483.907,0.166
2460238.90574,2023-10-21.4009432,,,1.48,16.234,9.660,0.001,496.678,0.233
2460240.74171,2023-10-23.2369091,,,1.46,17.21,9.715,0.0,472.092,0.095
2460242.76,2023-10-25.2552048,,,1.4,16.516,9.687,0.0,484.427,0.18
2460243.62968,2023-10-26.1248829,br,g,1.59,15.211,9.915,0.002,392.821,0.598
2460243.86181,2023-10-26.3570097,,,1.4,15.425,9.700,0.001,478.791,0.491
2460244.57008,2023-10-27.0652792,br,g,1.56,15.359,9.882,0.001,404.718,0.522
2460244.86978,2023-10-27.3649844,,,1.44,16.375,9.688,0.0,483.89,0.205
2460248.69792,2023-10-31.1931644,,,1.74,15.948,9.710,0.001,474.357,0.303
2460250.9501,2023-11-02.4453748,,,1.42,16.325,9.668,0.0,493.191,0.214
2460251.57045,2023-11-03.0657366,br,g,1.67,16.015,9.893,0.001,400.637,0.285
2460251.97796,2023-11-03.4732577,,,2.25,15.801,9.828,0.001,425.612,0.347
2460252.5605,2023-11-04.0557968,br,g,1.61,16.523,9.838,0.0,421.405,0.179
2460253.56234,2023-11-05.0576546,br,g,2.06,14.853,10.560,0.004,216.781,0.831
2460253.88149,2023-11-05.3768116,,,1.48,15.992,9.624,0.001,513.394,0.291
2460254.80142,2023-11-06.2967665,,,2.09,16.229,9.654,0.001,499.208,0.234
2460256.60565,2023-11-08.1010288,br,g,1.47,16.067,9.803,0.001,435.476,0.272
2460259.70869,2023-11-11.2041483,,,1.47,16.907,9.703,0.0,477.121,0.125
2460260.82189,2023-11-12.3173853,,,1.74,16.331,9.665,0.0,494.276,0.213
2460261.81433,2023-11-13.3098479,,,1.57,15.548,9.603,0.001,523.225,0.438
2460264.80322,2023-11-16.2988329,,,2.28,15.346,9.604,0.001,523.081,0.528
2460266.77555,2023-11-18.2712369,,,1.41,15.114,9.563,0.001,543.117,0.654
2460267.59422,2023-11-19.0899420,br,g,1.45,15.974,9.801,0.001,436.279,0.296
2460268.6214,2023-11-20.1171579,br,g,1.48,15.803,9.867,0.001,410.554,0.347
2460268.90118,2023-11-20.3969528,,,1.49,15.747,9.576,0.001,536.805,0.365
2460271.82875,2023-11-23.3246506,,,2.2,15.683,9.562,0.001,543.29,0.387
